scheme,kind,depth,run,verify_time_ms,peak_mem_bytes,proof_size_bytes,host
nova,folding,8,107,260.553298,33472512,9872,arm
nova,folding,8,108,260.436717,33472512,9872,arm
nova,folding,8,109,260.258,33472512,9872,arm
nova,folding,8,110,260.777429,33472512,9872,arm
nova,folding,8,111,260.82415,33472512,9872,arm
nova,folding,8,112,260.54131800000005,33472512,9872,arm
nova,folding,8,113,260.322095,33472512,9872,arm
nova,folding,8,114,260.445963,33472512,9872,arm
nova,folding,8,115,260.424378,33472512,9872,arm
nova,folding,8,116,260.688018,33472512,9872,arm
nova,folding,8,117,260.486844,33472512,9872,arm
nova,folding,8,118,260.52929400000005,33472512,9872,arm
nova,folding,8,119,260.76723699999997,33472512,9872,arm
nova,folding,8,120,260.686658,33472512,9872,arm
nova,folding,8,121,260.523149,33472512,9872,arm
nova,folding,8,122,260.815862,33472512,9872,arm
nova,folding,8,123,261.190649,33472512,9872,arm
nova,folding,8,124,260.684266,33472512,9872,arm
nova,folding,8,125,260.339607,33472512,9872,arm
nova,folding,8,126,260.754125,33472512,9872,arm
nova,folding,8,127,260.497996,33472512,9872,arm
nova,folding,8,128,260.505221,33472512,9872,arm
nova,folding,8,129,260.35029599999996,33472512,9872,arm
nova,folding,8,130,260.61722399999996,33472512,9872,arm
nova,folding,8,131,260.90247300000004,33472512,9872,arm
nova,folding,8,132,260.207923,33472512,9872,arm
nova,folding,8,133,260.737603,33472512,9872,arm
nova,folding,8,134,260.47513100000003,33472512,9872,arm
nova,folding,8,135,260.60788,33472512,9872,arm
nova,folding,8,136,260.29049399999997,33472512,9872,arm
nova,folding,8,137,260.588639,33472512,9872,arm
nova,folding,8,138,260.695434,33472512,9872,arm
nova,folding,8,139,260.735844,33472512,9872,arm
nova,folding,8,140,260.966271,33472512,9872,arm
nova,folding,8,141,260.587261,33472512,9872,arm
nova,folding,8,142,260.744619,33472512,9872,arm
nova,folding,8,143,260.64572699999997,33472512,9872,arm
nova,folding,8,144,260.450929,33472512,9872,arm
nova,folding,8,145,260.416264,33472512,9872,arm
nova,folding,8,146,260.591989,33472512,9872,arm
nova,folding,8,147,260.906735,33472512,9872,arm
nova,folding,8,148,260.38137500000005,33472512,9872,arm
nova,folding,8,149,260.780931,33472512,9872,arm
nova,folding,8,150,260.732154,33472512,9872,arm
nova,folding,8,151,260.583933,33472512,9872,arm
nova,folding,8,152,260.389231,33472512,9872,arm
nova,folding,8,153,260.5613,33472512,9872,arm
nova,folding,8,154,260.900662,33472512,9872,arm
nova,folding,8,155,260.69343200000003,33472512,9872,arm
nova,folding,8,156,260.87016600000004,33472512,9872,arm
nova,folding,8,157,260.920512,33472512,9872,arm
nova,folding,8,158,260.745698,33472512,9872,arm
nova,folding,8,159,262.595396,33472512,9872,arm
nova,folding,8,160,260.688632,33472512,9872,arm
nova,folding,8,161,260.469538,33472512,9872,arm
