scheme,kind,depth,run,verify_time_ms,peak_mem_bytes,proof_size_bytes,host
plonky2,recursive,8,97,4.5658069999999995,3354624,127208,arm
plonky2,recursive,8,98,4.5687999999999995,3354624,127208,arm
plonky2,recursive,8,99,4.565648,3354624,127208,arm
plonky2,recursive,8,100,4.569407999999999,3354624,127208,arm
plonky2,recursive,8,101,4.571592,3354624,127208,arm
plonky2,recursive,8,102,4.580056,3354624,127208,arm
plonky2,recursive,8,103,4.567,3354624,127208,arm
plonky2,recursive,8,104,4.561934999999999,3354624,127208,arm
plonky2,recursive,8,105,4.561911,3354624,127208,arm
plonky2,recursive,8,106,4.569592,3354624,127208,arm
plonky2,recursive,8,107,4.564592,3354624,127208,arm
plonky2,recursive,8,108,4.562872,3354624,127208,arm
plonky2,recursive,8,109,4.568872,3354624,127208,arm
plonky2,recursive,8,110,4.5664549999999995,3354624,127208,arm
plonky2,recursive,8,111,4.572816,3354624,127208,arm
plonky2,recursive,8,112,4.567144000000001,3354624,127208,arm
plonky2,recursive,8,113,4.564487,3354624,127208,arm
plonky2,recursive,8,114,4.567863,3354624,127208,arm
plonky2,recursive,8,115,4.564144,3354624,127208,arm
plonky2,recursive,8,116,4.569768,3354624,127208,arm
plonky2,recursive,8,117,4.56844,3354624,127208,arm
plonky2,recursive,8,118,4.5722000000000005,3354624,127208,arm
plonky2,recursive,8,119,4.580072,3354624,127208,arm
plonky2,recursive,8,120,4.577272000000001,3354624,127208,arm
plonky2,recursive,8,121,4.579641,3354624,127208,arm
plonky2,recursive,8,122,4.570048,3354624,127208,arm
plonky2,recursive,8,123,4.5696959999999995,3354624,127208,arm
plonky2,recursive,8,124,4.564912,3354624,127208,arm
plonky2,recursive,8,125,4.56812,3354624,127208,arm
plonky2,recursive,8,126,4.594512,3354624,127208,arm
plonky2,recursive,8,127,4.57052,3354624,127208,arm
plonky2,recursive,8,128,4.5631200000000005,3354624,127208,arm
plonky2,recursive,8,129,4.564392,3354624,127208,arm
plonky2,recursive,8,130,4.571111999999999,3354624,127208,arm
plonky2,recursive,8,131,4.566391,3354624,127208,arm
plonky2,recursive,8,132,4.567264,3354624,127208,arm
plonky2,recursive,8,133,4.563776000000001,3354624,127208,arm
plonky2,recursive,8,134,4.569392000000001,3354624,127208,arm
plonky2,recursive,8,135,4.562999,3354624,127208,arm
plonky2,recursive,8,136,4.571408,3354624,127208,arm
plonky2,recursive,8,137,4.564576,3354624,127208,arm
plonky2,recursive,8,138,4.572952,3354624,127208,arm
plonky2,recursive,8,139,4.572848,3354624,127208,arm
plonky2,recursive,8,140,4.598905,3354624,127208,arm
plonky2,recursive,8,141,4.571336,3354624,127208,arm
plonky2,recursive,8,142,4.5712399999999995,3354624,127208,arm
plonky2,recursive,8,143,4.56732,3354624,127208,arm
plonky2,recursive,8,144,4.562463,3354624,127208,arm
plonky2,recursive,8,145,4.567015,3354624,127208,arm
plonky2,recursive,8,146,4.561815,3354624,127208,arm
plonky2,recursive,8,147,4.568624000000001,3354624,127208,arm
plonky2,recursive,8,148,4.563208,3354624,127208,arm
plonky2,recursive,8,149,4.5632399999999995,3354624,127208,arm
plonky2,recursive,8,150,4.56808,3354624,127208,arm
plonky2,recursive,8,151,4.574072,3354624,127208,arm
plonky2,recursive,8,152,4.576384,3354624,127208,arm
plonky2,recursive,8,153,4.570256,3354624,127208,arm
plonky2,recursive,8,154,4.588889,3354624,127208,arm
plonky2,recursive,8,155,4.576633,3354624,127208,arm
plonky2,recursive,8,156,4.570728,3354624,127208,arm
plonky2,recursive,8,157,4.57616,3354624,127208,arm
plonky2,recursive,8,158,4.580048,3354624,127208,arm
plonky2,recursive,8,159,4.561408,3354624,127208,arm
plonky2,recursive,8,160,4.566368000000001,3354624,127208,arm
plonky2,recursive,8,161,4.5605519999999995,3354624,127208,arm
plonky2,recursive,8,162,4.565215,3354624,127208,arm
plonky2,recursive,8,163,4.562863,3354624,127208,arm
plonky2,recursive,8,164,4.564647,3354624,127208,arm
plonky2,recursive,8,165,4.564472,3354624,127208,arm
plonky2,recursive,8,166,4.558327,3354624,127208,arm
plonky2,recursive,8,167,4.562416,3354624,127208,arm
plonky2,recursive,8,168,4.582464,3354624,127208,arm
plonky2,recursive,8,169,4.568855,3354624,127208,arm
plonky2,recursive,8,170,4.56616,3354624,127208,arm
plonky2,recursive,8,171,4.569400000000001,3354624,127208,arm
plonky2,recursive,8,172,4.566695,3354624,127208,arm
plonky2,recursive,8,173,4.56372,3354624,127208,arm
plonky2,recursive,8,174,4.562704,3354624,127208,arm
plonky2,recursive,8,175,4.566536,3354624,127208,arm
plonky2,recursive,8,176,4.561856000000001,3354624,127208,arm
plonky2,recursive,8,177,4.563736,3354624,127208,arm
plonky2,recursive,8,178,4.56236,3354624,127208,arm
plonky2,recursive,8,179,4.569120000000001,3354624,127208,arm
plonky2,recursive,8,180,4.563439,3354624,127208,arm
plonky2,recursive,8,181,4.564127,3354624,127208,arm
plonky2,recursive,8,182,4.58308,3354624,127208,arm
plonky2,recursive,8,183,4.565040000000001,3354624,127208,arm
plonky2,recursive,8,184,4.564832,3354624,127208,arm
plonky2,recursive,8,185,4.5769519999999995,3358720,127208,arm
plonky2,recursive,8,186,4.570752,3358720,127208,arm
plonky2,recursive,8,187,4.566936,3358720,127208,arm
plonky2,recursive,8,188,4.5626549999999995,3358720,127208,arm
plonky2,recursive,8,189,4.566007000000001,3358720,127208,arm
plonky2,recursive,8,190,4.563335,3358720,127208,arm
plonky2,recursive,8,191,4.566623,3358720,127208,arm
plonky2,recursive,8,192,4.570288,3358720,127208,arm
plonky2,recursive,8,193,4.569992,3358720,127208,arm
plonky2,recursive,8,194,4.568351,3358720,127208,arm
plonky2,recursive,8,195,4.563015,3358720,127208,arm
plonky2,recursive,8,196,4.562688,3358720,127208,arm
plonky2,recursive,8,197,4.565752,3358720,127208,arm
plonky2,recursive,8,198,4.561984,3358720,127208,arm
plonky2,recursive,8,199,4.560904,3358720,127208,arm
plonky2,recursive,16,0,4.564534999999999,3358720,127208,arm
plonky2,recursive,16,1,4.57056,3358720,127208,arm
plonky2,recursive,16,2,4.571791,3358720,127208,arm
plonky2,recursive,16,3,4.571128,3358720,127208,arm
plonky2,recursive,16,4,4.565375,3358720,127208,arm
plonky2,recursive,16,5,4.5662389999999995,3358720,127208,arm
plonky2,recursive,16,6,4.56936,3358720,127208,arm
plonky2,recursive,16,7,4.56824,3358720,127208,arm
plonky2,recursive,16,8,4.567239,3358720,127208,arm
plonky2,recursive,16,9,4.572336,3358720,127208,arm
plonky2,recursive,16,10,4.57872,3358720,127208,arm
plonky2,recursive,16,11,4.584024,3358720,127208,arm
plonky2,recursive,16,12,4.574816,3358720,127208,arm
plonky2,recursive,16,13,4.578912,3358720,127208,arm
plonky2,recursive,16,14,4.57172,3358720,127208,arm
plonky2,recursive,16,15,4.582288999999999,3358720,127208,arm
plonky2,recursive,16,16,4.570992,3358720,127208,arm
plonky2,recursive,16,17,4.568656,3358720,127208,arm
plonky2,recursive,16,18,4.569967999999999,3358720,127208,arm
plonky2,recursive,16,19,4.5645679999999995,3358720,127208,arm
plonky2,recursive,16,20,4.579968999999999,3358720,127208,arm
plonky2,recursive,16,21,4.569472,3358720,127208,arm
plonky2,recursive,16,22,4.568599,3358720,127208,arm
plonky2,recursive,16,23,4.5642640000000005,3358720,127208,arm
plonky2,recursive,16,24,4.564112000000001,3358720,127208,arm
plonky2,recursive,16,25,4.567640000000001,3358720,127208,arm
plonky2,recursive,16,26,4.563744,3358720,127208,arm
plonky2,recursive,16,27,4.577392,3358720,127208,arm
plonky2,recursive,16,28,4.56876,3358720,127208,arm
plonky2,recursive,16,29,4.56372,3358720,127208,arm
plonky2,recursive,16,30,4.563143,3358720,127208,arm
plonky2,recursive,16,31,4.576344000000001,3358720,127208,arm
plonky2,recursive,16,32,4.563816,3358720,127208,arm
plonky2,recursive,16,33,4.56596,3358720,127208,arm
plonky2,recursive,16,34,4.574145,3358720,127208,arm
plonky2,recursive,16,35,4.569736,3358720,127208,arm
plonky2,recursive,16,36,4.567712,3358720,127208,arm
plonky2,recursive,16,37,4.5689839999999995,3358720,127208,arm
plonky2,recursive,16,38,4.562863999999999,3358720,127208,arm
plonky2,recursive,16,39,4.564256,3358720,127208,arm
plonky2,recursive,16,40,4.564232,3358720,127208,arm
plonky2,recursive,16,41,4.568472,3358720,127208,arm
plonky2,recursive,16,42,4.57004,3358720,127208,arm
plonky2,recursive,16,43,4.564335,3358720,127208,arm
plonky2,recursive,16,44,4.565344,3358720,127208,arm
plonky2,recursive,16,45,4.585935999999999,3358720,127208,arm
plonky2,recursive,16,46,4.568728,3358720,127208,arm
plonky2,recursive,16,47,4.571464,3358720,127208,arm
plonky2,recursive,16,48,4.572904,3358720,127208,arm
plonky2,recursive,16,49,4.567591999999999,3358720,127208,arm
plonky2,recursive,16,50,4.564616,3358720,127208,arm
plonky2,recursive,16,51,4.568423,3358720,127208,arm
plonky2,recursive,16,52,4.562928,3358720,127208,arm
plonky2,recursive,16,53,4.564007999999999,3358720,127208,arm
plonky2,recursive,16,54,4.562672,3358720,127208,arm
plonky2,recursive,16,55,4.573776,3358720,127208,arm
plonky2,recursive,16,56,4.565958999999999,3358720,127208,arm
plonky2,recursive,16,57,4.570183999999999,3358720,127208,arm
plonky2,recursive,16,58,4.564144,3358720,127208,arm
plonky2,recursive,16,59,4.562824,3358720,127208,arm
plonky2,recursive,16,60,4.561008,3358720,127208,arm
plonky2,recursive,16,61,4.564768,3358720,127208,arm
plonky2,recursive,16,62,4.5623119999999995,3358720,127208,arm
plonky2,recursive,16,63,4.566696,3358720,127208,arm
plonky2,recursive,16,64,4.564976,3358720,127208,arm
plonky2,recursive,16,65,4.5626240000000005,3358720,127208,arm
plonky2,recursive,16,66,4.564528,3358720,127208,arm
