scheme,kind,depth,host,n,verify_time_ms_mean,verify_time_ms_std,verify_time_ms_ci95,verify_time_ms_cv,peak_mem_bytes_mean,peak_mem_bytes_std,peak_mem_bytes_ci95,peak_mem_bytes_cv,proof_size_bytes_mean,proof_size_bytes_std,proof_size_bytes_ci95,proof_size_bytes_cv,peak_mem_mib_mean
nova,folding,2,x86,40,67.3077075,50.42341646051421,15.62637865540016,0.7491477326057229,41251270.2,1134666.7037811137,351636.8545721829,0.027506224615142,9872.0,0.0,0.0,0.0,39.340276908874515
nova,folding,4,x86,40,165.544265,5.3697662982881065,1.6641078165293501,0.03243704213062353,41304573.4,1235552.223605565,382901.6010785659,0.02991320626024345,9872.0,0.0,0.0,0.0,39.391110801696776
nova,folding,8,arm,200,262.14955254,0.8725312887547348,0.12092666705087847,0.0033283722222703393,33472512.0,0.0,0.0,0.0,9872.0,0.0,0.0,0.0,31.921875
nova,folding,8,x86,40,164.6102275,7.89497701583142,2.4466787255812386,0.04796164330573821,40800828.6,1811334.0297408623,561338.231460525,0.04439454030452858,9872.0,0.0,0.0,0.0,38.910702323913576
nova,folding,16,arm,200,259.217115545,0.9665187025949512,0.13395265803470874,0.0037286068111778052,35905536.0,0.0,0.0,0.0,9872.0,0.0,0.0,0.0,34.2421875
nova,folding,16,x86,40,162.94468999999998,4.3320621497897545,1.342519969156632,0.026586089732594263,41293056.4,1165147.4275040575,361082.92871827626,0.028216546051167517,9872.0,0.0,0.0,0.0,39.380127334594725
nova,folding,32,x86,40,164.85875500000003,5.643536215246153,1.748949992786763,0.03423255389285301,40797121.4,1857733.4214885982,575717.551937513,0.045535894635168994,9872.0,0.0,0.0,0.0,38.90716686248779
nova,folding,64,x86,40,162.98443000000003,2.8138644919535367,0.8720256405212801,0.01726462148533781,41142497.8,1556585.6724566077,482390.897618475,0.037834009982170014,9872.0,0.0,0.0,0.0,39.23654346466064
plonky2,recursive,2,x86,40,4.9755975,0.4454997277546723,0.1380617959955901,0.08953693054043706,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
plonky2,recursive,4,x86,40,4.856275000000001,0.14348898063650248,0.0444676957988202,0.029547128331180266,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
plonky2,recursive,8,arm,200,4.57904386,0.014487438139631482,0.002007856487108592,0.0031638566003234316,3357470.72,5663.05539294095,784.8594346343845,0.0016867028383023247,127208.0,0.0,0.0,0.0,3.20193359375
plonky2,recursive,8,x86,40,4.877385,0.16276839066600132,0.050442446867296216,0.03337206118975666,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
plonky2,recursive,16,arm,200,4.57646628,0.009463722089141365,0.0013116049646413688,0.0020679103723542274,3362816.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,3.20703125
plonky2,recursive,16,x86,40,4.844965,0.13296082621468738,0.04120498694079114,0.027443093234871124,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
plonky2,recursive,32,x86,40,4.8537799999999995,0.12215821644962672,0.037857223490697464,0.025167645927427023,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
plonky2,recursive,64,x86,40,4.8197025,0.0646424346119799,0.020032898033491203,0.013412121310802876,491286.0,0.0,0.0,0.0,127208.0,0.0,0.0,0.0,0.46852684020996094
